[2, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 2]
[1, 0, 1, 1, 2, 1, 0, 1, 1, 1, 1, 0, 0, 1, 2]
[0, 0, 0, 0, 1, 1, 2, 0, 1, 2, 1, 1, 1, 1, 1]
[0, 1, 2, 0, 1, 0, 1, 3, 1, 1, 1, 1, 1, 1, 2]
[2, 1, 0, 2, 4, 3, 3, 9, 159, 45, 168, 540, 2283, 8365, 33452]
[0, 1, 0, 1, 3, 1, 4, 17, 19, 77, 210, 458, 1944, 8788, 31866]
[0, 1, 1, 1, 2, 1, 7, 24, 18, 69, 137, 458, 2096, 9318, 34327]
[0, 1, 3, 2, 2, 3, 4, 79, 17, 68, 140, 563, 2180, 8384, 33751]
[0, 0, 0, 2, 3, 3, 1, 5, 122, 163, 294, 752, 1971, 2153, 3781]
[0, 0, 1, 0, 1, 2, 3, 12, 78, 128, 269, 699, 1557, 2173, 2988]
[0, 0, 1, 1, 1, 1, 21, 16, 67, 119, 290, 728, 1039, 1790, 2919]
[0, 0, 0, 1, 5, 2, 47, 54, 167, 97, 357, 558, 1089, 1716, 3327]
[1, 1, 1, 1, 1, 1, 0, 1, 1, 3, 11, 38, 3, 267, 3217]
[0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 9, 42, 91, 71, 3238]
[1, 1, 0, 0, 0, 0, 1, 4, 1, 1, 8, 50, 162, 340, 4074]
[0, 0, 1, 0, 0, 0, 0, 1, 2, 1, 17, 4, 30, 153, 1]
[0, 0, 0, 4, 2, 1, 2, 38, 73, 140, 211, 425, 931, 3023, 4195]
[0, 0, 0, 1, 1, 1, 2, 32, 71, 106, 255, 826, 1062, 1595, 14100]
[0, 0, 1, 1, 1, 2, 81, 11, 103, 95, 331, 615, 1105, 1316, 11838]
[0, 1, 0, 1, 2, 2, 31, 83, 74, 137, 337, 503, 1347, 1591, 3968]
[14, 10, 32, 31, 159, 55, 47, 114, 235, 207, 339, 679, 1588, 4472, 18992]
[10, 12, 15, 33, 66, 44, 68, 84, 180, 182, 344, 633, 1434, 7018, 17227]
[7, 12, 20, 21, 76, 106, 111, 407, 142, 200, 354, 775, 1618, 4495, 9168]
[8, 11, 35, 29, 32, 54, 52, 608, 107, 213, 362, 824, 1654, 4207, 13798]
